total_violent_crime,household_income
2328,49271
235,43481
731,36588
59,26756
371,37050
315,36020
61,25465
1078,37312
682,45130
261,45542
289,31373
414,40120
534,43013
632,34702
208,44842
1291,51766
1356,50859
2177,54115
420,43657
117,44663
82,51766
281,49238
775,45759
172,42519
1527,52838
2465,35840
302,55659
4671,50853
952,36218
388,44722
449,53954
1015,50149
422,41444
16433,79183
322,51444
5633,56453
291,37127
178,46686
921,48115
2226,71713
625,44183
157,33015
127,38313
163,41234
3366,51339
10125,67766
48,46660
153,48601
221,39968
2656,52920
8,38036
1000,34659
71,42607
1614,31842
232,42078
3380,46555
855,52835
3378,66252
380,44149
3070,49279
755,37203
2893,54165
3840,46808
1336,35693
86,44073
38,54620
12676,76147
84,42632
12653,65219
594,57683
2808,36726
512,32364
253,33239
102,38826
665,55326
15271,79596
58,33445
11233,56483
911,43039
427,42862
1691,40379
2920,60813
59,44426
272,33635
325,36607
486,49594
789,57375
3287,85706
138,46002
1523,45622
3161,42312
556,34830
845,42389
1867,49024
1095,50418
664,35507
535,33228
454,49901
8879,69530
656,64707
628,36786
1051,46797
8518,86050
173,57004
2293,51475
49,35938
145,44432
387,35170
16044,74155
1336,47543
3278,58318
1560,30987
514,29848
823,50513
60,41189
531,48989
776,47165
1543,55315
1881,47058
2298,48090
136,54076
1681,60795
127,35769
1013,83336
8105,74524
1298,52939
83,35483
323,46467
179,63027
74,34620
429,38648
114,37586
78,47181
11344,64180
160,49434
7,71607
62,37571
583,49021
2139,51354
801,42549
3,33750
392,36073
1071,40384
330,42651
224,34685
66,39681
831,52186
83,38346
933,28599
5912,50736
72,42125
1023,50221
1467,46503
265,38874
121,32424
25,38182
299,33784
85,36192
38,43482
52,33006
535,30571
439,45362
98,47325
134,42025
997,53013
180,31234
713,42389
431,33119
138,40375
565,40023
234,47118
2498,57703
55,48911
983,54463
13755,77469
169,44838
8807,78446
21,42433
206,40236
3200,61837
1093,43601
403,40235
173,44032
903,41735
254,54546
12343,74717
395,38362
1343,53179
1937,39747
383,46150
7,41932
316,45633
966,64423
11,51411
789,42542
827,47941
514,48890
6844,67603
390,45000
304,41392
18613,82762
268,54723
499,40567
491,44429
198,58008
1071,46963
7673,98071
300,47876
548,41262
5053,63989
290,41924
1023,57922
962,56005
1325,46963
919,54968
49,39900
551,49329
389,42039
423,45949
761,37239
220,41732
503,36590
359,37734
261,37964
141,32963
578,41137
1191,73847
565,48630
722,45395
92,42019
969,39586
4890,57348
2740,48389
78,29876
9212,71803
137,39697
3731,61952
215,41547
261,36046
2180,50516
240,50817
664,52200
61,34122
2480,97110
115,44212
477,39899
1628,58455
1164,56836
1078,48493
504,39519
78,54694
110,50583
9,43500
1041,40891
872,43765
3447,44921
282,49940
1467,47223
153,33582
939,39306
55,39529
88,40102
128,41728
688,40359
199,46139
617,36048
2729,52637
171,40134
513,41953
1039,26228
3448,67225
224,45651
478,41617
2006,52140
210,36570
107,40970
469,31308
551,38394
783,57580
108,56452
7327,71077
572,48977
9812,70380
924,40450
348,49342
1462,55155
65,48711
35,41129
1000,44346
159,37349
1671,48881
85,34867
234,31712
134,32780
142,37716
328,40571
213,40111
4658,103208
1427,59915
1245,52410
3367,40524
303,40680
126,50923
220,31090
806,48893
46,53885
648,37236
136,43260
333,40830
517,44231
225,45629
7807,57461
38,34295
1079,47892
939,53016
699,43273
221,37189
342,36073
189,42524
213,34555
152,32881
